date,home_team,away_team,actual_score,manu_prediction,mpg_points,displayed_points,recorded_points,validation_note
2026-06-11,Mexico,South Africa,1-0,1-0,49,49,49,OK
2026-06-12,South Korea,Czech Republic,2-1,2-0,96,96,96,OK
2026-06-12,Canada,Bosnia & Herzegovina,1-1,3-0,65,0,0,OK
2026-06-13,USA,Paraguay,4-1,3-0,74,74,74,OK
2026-06-13,Qatar,Switzerland,1-1,0-1,33,0,0,OK
2026-06-13,Brazil,Morocco,1-1,1-0,55,0,0,OK
2026-06-14,Haiti,Scotland,0-1,1-3,44,44,44,OK
2026-06-14,Australia,Turkey,2-0,0-1,66,0,0,OK
2026-06-14,Germany,Curaçao,7-1,5-0,15,15,15,OK
2026-06-14,Netherlands,Japan,2-2,2-0,74,0,0,OK
2026-06-14,Ivory Coast,Ecuador,1-0,0-2,85,0,0,OK
2026-06-15,Sweden,Tunisia,5-1,3-0,72,72,72,OK
2026-06-15,Spain,Cape Verde,0-0,1-0,16,0,0,OK
2026-06-15,Belgium,Egypt,1-1,1-0,57,0,0,OK
2026-06-15,Saudi Arabia,Uruguay,1-1,0-3,50,0,0,OK
2026-06-16,Iran,New Zealand,2-2,1-1,116,116,116,OK
2026-06-16,France,Senegal,3-1,1-0,46,46,46,OK
2026-06-16,Iraq,Norway,1-4,0-2,30,30,30,OK
2026-06-17,Argentina,Algeria,3-0,1-0,43,43,43,OK
2026-06-17,Austria,Jordan,3-1,3-0,38,38,38,OK
2026-06-17,Portugal,RD Congo,1-1,5-0,34,0,0,OK
2026-06-17,England,Croatia,4-2,3-0,59,59,59,OK
2026-06-17,Ghana,Panama,1-0,1-0,73,93,93,OK
2026-06-18,Uzbekistan,Colombia,1-3,0-4,44,44,44,OK
2026-06-18,Czech Republic,South Africa,1-1,1-3,142,0,0,OK
2026-06-18,Switzerland,Bosnia & Herzegovina,4-1,1-0,76,76,76,OK
2026-06-18,Canada,Qatar,6-0,4-0,71,71,71,OK
2026-06-19,Mexico,South Korea,1-0,0-2,129,0,0,OK
2026-06-19,USA,Australia,2-0,1-0,58,58,58,OK
2026-06-19,Scotland,Morocco,0-1,0-3,91,91,91,OK
2026-06-20,Brazil,Haiti,3-0,4-0,21,21,21,OK
2026-06-20,Turkey,Paraguay,0-1,1-0,84,0,0,OK
2026-06-20,Netherlands,Sweden,5-1,3-0,67,67,67,OK
2026-06-20,Germany,Ivory Coast,2-1,0-0,137,0,0,OK
2026-06-21,Ecuador,Curaçao,0-0,5-0,41,0,0,OK
2026-06-21,Tunisia,Japan,0-4,0-1,91,91,91,OK
2026-06-21,Spain,Saudi Arabia,4-0,4-0,31,81,81,OK
2026-06-21,Belgium,Iran,0-0,0-0,138,188,188,OK
2026-06-21,Uruguay,Cape Verde,2-2,4-0,72,0,0,OK
2026-06-22,New Zealand,Egypt,1-3,0-1,59,59,59,OK
2026-06-22,Argentina,Austria,2-0,1-0,63,63,63,OK
2026-06-22,France,Iraq,3-0,1-0,22,22,22,OK
2026-06-23,Norway,Senegal,3-2,0-2,137,0,0,OK
2026-06-23,Jordan,Algeria,1-2,0-1,67,67,67,OK
2026-06-23,Portugal,Uzbekistan,5-0,4-0,24,24,24,OK
2026-06-23,England,Ghana,0-0,1-0,44,0,0,OK
2026-06-23,Panama,Croatia,0-1,0-0,123,0,0,OK
2026-06-24,Colombia,RD Congo,1-0,1-0,77,127,127,OK
2026-06-24,Switzerland,Canada,2-1,0-1,129,0,0,OK
2026-06-24,Bosnia & Herzegovina,Qatar,3-1,3-0,87,174,87,X2 special: recorded as 87 per instruction
2026-06-24,Scotland,Brazil,0-3,0-1,48,48,48,OK
2026-06-24,Morocco,Haiti,4-2,3-1,29,29,29,OK
2026-06-25,South Africa,South Korea,1-0,0-1,87,0,0,OK
2026-06-25,Czech Republic,Mexico,0-3,0-2,91,91,91,OK
2026-06-25,Ecuador,Germany,2-1,2-1,145,165,165,OK
2026-06-25,Curaçao,Ivory Coast,0-2,0-4,53,53,53,OK
2026-06-25,Tunisia,Netherlands,1-3,0-1,56,56,56,OK
2026-06-25,Japan,Sweden,1-1,3-0,96,0,0,OK
2026-06-26,Turkey,USA,3-2,1-3,93,0,0,OK
2026-06-26,Paraguay,Australia,0-0,0-0,104,154,154,OK
